custom.descrip,custom.categ,latimes.descrip,latimes.categ,water.hs.code,water.descrip,food.ndb.code,food.ndb.descrip,food.ndb.categ
Beef,Meat,Beef,Protein,020130,"Bovine cuts boneless, fresh or chilled",13795,"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",Beef Products
Pork,Meat,Pork,Protein,020319,"Swine cuts, fresh or chilled, nes",10002,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",Pork Products
Lamb,Meat,Lamb,Protein,020423,"Sheep cuts, boneless, fresh or chilled",17226,"Lamb, domestic, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, choice, raw","Lamb, Veal, and Game Products"
Goat,Meat,Goat,Protein,020450,"Goat meat, fresh, chilled or frozen",17168,"Goat, raw","Lamb, Veal, and Game Products"
Chicken,Meat,Chicken,Protein,160239,"Dom fowl,duck,goose&guinea fowl meat&meat offal prep/presvd exc livers (same as Turkey meat and meat offal prepared or preserved, excluding livers)",05006,"Chicken, broilers or fryers, meat and skin, raw",Poultry Products
Chickpeas,Legumes,Chickpeas,Protein,071320,"Chickpeas, dried, shelled, whether or not skinned or split",16056,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",Legumes and Legume Products
Peas,Legumes,Peas,Protein,071310,"Peas dried, shelled, whether or not skinned or split",16085,"Peas, green, split, mature seeds, raw",Legumes and Legume Products
Eggs,Dairy and Egg,Eggs,Protein,040700,"Eggs, bird, in shell, fresh, preserved or cooked",01123,"Egg, whole, raw, fresh",Dairy and Egg Products
Soy burger,Legumes,Soy burger,Protein,120100e,Soy burger,16147,"Veggie burgers or soyburgers, unprepared",Legumes and Legume Products
Lentils,Legumes,Lentils,Protein,071340,"Lentils dried, shelled, whether or not skinned or split",16069,"Lentils, raw",Legumes and Legume Products
Soy milk,Legumes,Soy milk,Drink,120100d,Soy milk,16120,"Soymilk, original and vanilla, unfortified",Legumes and Legume Products
Orange juice,Fruits and veggies,Orange juice,Drink,200919,"Orange juice nes,unfermentd&not spiritd,whether or not sugard or sweet",09206,"Orange juice, raw",Fruits and Fruit Juices
Milk,Dairy and Egg,Milk,Drink,040120,Milk not concentrated & unsweetened exceeding 1% not exceeding 6% fat,01211,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",Dairy and Egg Products
Wine,Fruits and veggies,Wine,Drink,220421,"Grape wines nes,incl fort&grape must,unfermntd by add alc in ctnr</=2l (same as Grape wines nes,incl fort&grape must,unfermntd by add alc,in ctnr > 2l)",14084,"Alcoholic beverage, wine, table, all",Beverages
Sparkling wine,Fruits and veggies,Sparkling wine,Drink,220410,"Grape wines, sparkling",,,
Grapefruit juice,Fruits and veggies,Grapefruit juice,Drink,200920,"Grapefruit juice,unfermentd&not spiritd,whether or not sugard or sweet",09404,"Grapefruit juice, pink, raw",Fruits and Fruit Juices
Beer,Grains and Starch,Beer,Drink,220300,Beer made from malt,14003,"Alcoholic beverage, beer, regular, all",Beverages
Apple juice,Fruits and veggies,Apple juice,Drink,200970,Apple juice unfermented&not spiritd whether or not sugard or sweetend,09016,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",Fruits and Fruit Juices
Grape juice,Fruits and veggies,Grape juice,Drink,200960,"Grape juice (incl grape must) unferment&unspiritd,wthr/nt sug/sweet",09135,"Grape juice, canned or bottled, unsweetened, without added ascorbic acid",Fruits and Fruit Juices
Pineapple juice,Fruits and veggies,Pineapple juice,Drink,200940,"Pineapple juice,unfermented&not spiritd,whether or not sugard or sweet",09273,"Pineapple juice, canned or bottled, unsweetened, without added ascorbic acid",Fruits and Fruit Juices
Wheat bread,Grains and Starch,Wheat bread,Starch,110100a,Wheat bread,18064,"Bread, wheat",Baked Products
Pasta,Grains and Starch,Pasta,Starch,110100b,Dry pasta,20099,"Macaroni, dry, enriched",Cereal Grains and Pasta
White rice,Grains and Starch,Rice,Starch,100630,"Rice, semi-milled or wholly milled, whether or not polished or glazed",20054,"Rice, white, glutinous, raw",Cereal Grains and Pasta
Potatoes,Grains and Starch,Potatoes,Starch,070190,"Potatoes, fresh or chilled nes, Potatoes",11352,"Potatoes, flesh and skin, raw",Vegetables and Vegetable Products
Apples,Fruits and veggies,Apples,Fruits and vegetables,080810,"Apples, fresh",09003,"Apples, raw, with skin",Fruits and Fruit Juices
Asparagus,Fruits and veggies,Asparagus,Fruits and vegetables,070920,"Asparagus, fresh or chilled",11011,"Asparagus, raw",Vegetables and Vegetable Products
Artichokes,Fruits and veggies,Artichokes,Fruits and vegetables,070910,"Globe artichokes, fresh or chilled",11007,"Artichokes, (globe or french), raw",Vegetables and Vegetable Products
Avocados,Fruits and veggies,Avocados,Fruits and vegetables,080440,"Avocados, fresh or dried",09037,"Avocados, raw, all commercial varieties",Fruits and Fruit Juices
Bananas,Fruits and veggies,Bananas,Fruits and vegetables,080300aa,Bananas,09040,"Bananas, raw",Fruits and Fruit Juices
Blackberries,Fruits and veggies,Blackberries,Fruits and vegetables,081020,"Raspberries, blackberries, mulberries and loganberries, fresh",09042,"Blackberries, raw",Fruits and Fruit Juices
Blueberries,Fruits and veggies,Blueberries,Fruits and vegetables,081040_c,Blueberries,09050,"Blueberries, raw",Fruits and Fruit Juices
Broccoli,Fruits and veggies,Broccoli,Fruits and vegetables,070410,"Cauliflowers and headed broccoli, fresh or chilled",11090,"Broccoli, raw",Vegetables and Vegetable Products
Brussels sprouts,Fruits and veggies,Brussels Sprouts,Fruits and vegetables,070420,"Brussels sprouts, fresh or chilled",11098,"Brussels sprouts, raw",Vegetables and Vegetable Products
Cabbage,Fruits and veggies,Cabbage,Fruits and vegetables,070490,"Cabbages,kohlrabi,kale and sim edible brassicas nes,fresh or chilled",11109,"Cabbage, raw",Vegetables and Vegetable Products
Carrots,Fruits and veggies,Carrots,Fruits and vegetables,070610,"Carrots and turnips, fresh or chilled",11124,"Carrots, raw",Vegetables and Vegetable Products
Cauliflower,Fruits and veggies,Cauliflower,Fruits and vegetables,070410,"Cauliflowers and headed broccoli, fresh or chilled",11135,"Cauliflower, raw",Vegetables and Vegetable Products
Cherries,Fruits and veggies,Cherries,Fruits and vegetables,080920,"Cherries, fresh",09070,"Cherries, sweet, raw",Fruits and Fruit Juices
Cranberries,Fruits and veggies,Cranberries,Fruits and vegetables,081040,"Cranberries, bilberries and other fruits of the genus Vaccinium, fresh",09078,"Cranberries, raw",Fruits and Fruit Juices
Cucumber,Fruits and veggies,Cucumber,Fruits and vegetables,070700,"Cucumbers and gherkins, fresh or chilled",11205,"Cucumber, with peel, raw",Vegetables and Vegetable Products
Eggplant,Fruits and veggies,Eggplant,Fruits and vegetables,070930,"Aubergines(egg-plants), fresh or chilled",11209,"Eggplant, raw",Vegetables and Vegetable Products
Grapefruit,Fruits and veggies,Grapefruit,Fruits and vegetables,080540,"Grapefruit, fresh or dried",09111,"Grapefruit, raw, pink and red and white, all areas",Fruits and Fruit Juices
Grapes,Fruits and veggies,Grapes,Fruits and vegetables,080610,"Grapes, fresh",09132,"Grapes, red or green (European type, such as Thompson seedless), raw",Fruits and Fruit Juices
Kale,Fruits and veggies,Kale,Fruits and vegetables,070490,"Cabbages,kohlrabi,kale and sim edible brassicas nes,fresh or chilled",11233,"Kale, raw",Vegetables and Vegetable Products
Lettuce,Fruits and veggies,Lettuce,Fruits and vegetables,070511,Cabbage lettuce (head lettuce) fresh or chilled ,11252,"Lettuce, iceberg (includes crisphead types), raw",Vegetables and Vegetable Products
Mangoes,Fruits and veggies,Mangoes,Fruits and vegetables,080450,"Guavas, mangoes and mangosteens, fresh or dried",09176,"Mangos, raw",Fruits and Fruit Juices
Okra,Fruits and veggies,Okra,Fruits and vegetables,070990cb,Okra,11278,"Okra, raw",Vegetables and Vegetable Products
Onions,Fruits and veggies,Onions,Fruits and vegetables,071220,Onions dried but not further prepared,11282,"Onions, raw",Vegetables and Vegetable Products
Oranges,Fruits and veggies,Oranges,Fruits and vegetables,080510,"Oranges, fresh or dried",09200,"Oranges, raw, all commercial varieties",Fruits and Fruit Juices
Peaches,Fruits and veggies,Peaches,Fruits and vegetables,080930,"Peaches, including nectarines, fresh",09236,"Peaches, raw",Fruits and Fruit Juices
Pear,Fruits and veggies,Pear,Fruits and vegetables,080820,"Pears and quinces, fresh",09252,"Pears, raw",Fruits and Fruit Juices
Pineapples,Fruits and veggies,Pineapples,Fruits and vegetables,080430,"Pineapples, fresh or dried",09266,"Pineapple, raw, all varieties",Fruits and Fruit Juices
Raspberries,Fruits and veggies,Raspberries,Fruits and vegetables,081020,"Raspberries, blackberries, mulberries and loganberries, fresh",09302,"Raspberries, raw",Fruits and Fruit Juices
Spinach,Fruits and veggies,Spinach,Fruits and vegetables,070970,"Spinach,N-Z spinach & orache spinach (garden spinach),fresh or chilled",11457,"Spinach, raw",Vegetables and Vegetable Products
